date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2018-02-19,33,22,0.0,8.7,7,25,08:18 AM,08:41 PM,06:06 AM,05:35 PM,13,28,28,27,12,3,44,0.0,1013,33,10,233,9,Kolkata
2018-02-20,33,23,0.0,8.7,7,32,08:57 AM,09:37 PM,06:05 AM,05:36 PM,13,28,28,27,11,5,46,0.0,1012,33,10,232,8,Kolkata
2018-02-21,34,23,0.0,8.7,8,40,09:37 AM,10:33 PM,06:04 AM,05:36 PM,13,28,28,28,5,5,43,0.0,1011,34,10,259,4,Kolkata
2018-02-22,34,25,0.0,8.7,8,47,10:19 AM,11:32 PM,06:04 AM,05:37 PM,12,30,30,30,6,1,35,0.0,1010,34,10,259,5,Kolkata
2018-02-23,35,25,0.0,8.7,8,55,11:06 AM,No moonset,06:03 AM,05:37 PM,12,29,29,29,14,6,38,0.0,1011,35,10,225,10,Kolkata
2018-02-24,37,23,0.0,8.7,8,62,11:57 AM,12:31 AM,06:02 AM,05:38 PM,14,30,30,30,11,4,45,0.0,1013,37,10,225,8,Kolkata
2018-02-25,38,26,0.0,8.7,8,70,12:53 PM,01:33 AM,06:01 AM,05:38 PM,11,30,30,31,13,4,33,0.0,1012,38,10,218,9,Kolkata
2018-02-26,35,24,0.0,8.7,8,77,01:53 PM,02:34 AM,06:01 AM,05:39 PM,13,29,29,29,7,12,38,0.0,1011,35,10,231,5,Kolkata
2018-02-27,35,25,0.0,11.4,8,85,02:56 PM,03:33 AM,06:00 AM,05:39 PM,13,30,30,31,7,3,36,0.0,1012,35,10,292,6,Kolkata
2018-02-28,34,26,0.0,11.6,8,93,04:00 PM,04:28 AM,05:59 AM,05:40 PM,15,31,31,30,8,2,40,0.0,1011,34,10,256,7,Kolkata
2018-03-01,35,27,0.0,11.6,8,96,05:04 PM,05:20 AM,05:58 AM,05:40 PM,14,31,31,31,7,1,37,0.0,1011,35,10,226,6,Kolkata
2018-03-02,36,24,0.0,11.6,8,100,06:06 PM,06:07 AM,05:57 AM,05:41 PM,15,31,31,30,11,2,42,0.0,1009,36,10,238,9,Kolkata
2018-03-03,37,24,0.0,11.6,8,89,07:06 PM,06:51 AM,05:57 AM,05:41 PM,16,31,31,31,12,3,45,0.0,1007,37,10,219,9,Kolkata
2018-03-04,39,27,0.0,11.6,9,82,08:03 PM,07:33 AM,05:56 AM,05:42 PM,16,33,33,32,9,1,45,0.0,1008,39,10,158,7,Kolkata
2018-03-05,38,28,0.0,11.6,8,74,08:59 PM,08:13 AM,05:55 AM,05:42 PM,13,32,32,32,16,4,34,0.0,1010,38,10,287,11,Kolkata
2018-03-06,36,26,0.0,11.6,8,67,09:53 PM,08:53 AM,05:54 AM,05:42 PM,10,30,30,31,12,14,28,0.0,1011,36,10,273,8,Kolkata
2018-03-07,37,25,0.0,11.6,8,60,10:46 PM,09:34 AM,05:53 AM,05:43 PM,8,30,30,31,9,2,25,0.0,1012,37,10,223,6,Kolkata
2018-03-08,36,24,0.0,11.6,8,53,11:39 PM,10:14 AM,05:52 AM,05:43 PM,4,29,29,31,8,0,19,0.0,1013,36,10,225,7,Kolkata
2018-03-09,37,25,0.0,11.6,8,45,No moonrise,10:58 AM,05:51 AM,05:44 PM,6,29,29,31,8,0,21,0.0,1012,37,10,286,7,Kolkata
2018-03-10,36,25,0.0,11.6,8,38,12:29 AM,11:43 AM,05:50 AM,05:44 PM,6,30,30,31,10,0,23,0.0,1011,36,10,247,8,Kolkata
2018-03-11,37,26,0.0,11.6,8,31,01:19 AM,12:29 PM,05:50 AM,05:44 PM,9,30,30,31,11,1,28,0.0,1012,37,10,225,8,Kolkata
2018-03-12,37,25,0.0,11.6,8,24,02:07 AM,01:19 PM,05:49 AM,05:45 PM,17,31,31,30,13,5,51,0.0,1011,37,10,207,11,Kolkata
2018-03-13,37,26,0.0,11.6,9,16,02:53 AM,02:09 PM,05:48 AM,05:45 PM,14,33,33,32,8,1,41,0.0,1010,37,10,211,7,Kolkata
2018-03-14,39,27,0.0,11.6,9,9,03:37 AM,03:01 PM,05:47 AM,05:46 PM,12,32,32,33,9,0,33,0.0,1009,39,10,254,7,Kolkata
2018-03-15,42,27,0.0,11.6,9,2,04:18 AM,03:53 PM,05:46 AM,05:46 PM,18,34,34,32,7,2,47,0.0,1008,42,10,205,5,Kolkata
2018-03-16,35,26,0.0,11.6,8,0,04:59 AM,04:46 PM,05:45 AM,05:46 PM,16,30,30,29,20,42,50,0.2,1009,35,10,227,14,Kolkata
2018-03-17,36,24,0.0,11.6,8,0,05:38 AM,05:40 PM,05:44 AM,05:47 PM,15,29,29,29,16,24,44,0.0,1009,36,10,242,11,Kolkata
2018-03-18,37,24,0.0,11.6,8,5,06:16 AM,06:35 PM,05:43 AM,05:47 PM,15,31,31,31,8,8,45,0.0,1011,37,10,229,6,Kolkata
2018-03-19,38,26,0.0,11.6,8,13,06:56 AM,07:31 PM,05:42 AM,05:47 PM,7,31,31,32,10,0,23,0.0,1012,38,10,226,8,Kolkata
2018-03-20,39,26,0.0,11.6,8,20,07:36 AM,08:28 PM,05:41 AM,05:48 PM,12,32,32,32,8,0,35,0.0,1010,39,10,244,6,Kolkata
2018-03-21,38,27,0.0,11.6,9,27,08:18 AM,09:27 PM,05:40 AM,05:48 PM,15,34,34,32,10,0,46,0.0,1009,38,10,254,8,Kolkata
2018-03-22,38,24,0.0,11.6,8,34,09:04 AM,10:26 PM,05:39 AM,05:48 PM,18,32,32,30,12,6,54,0.0,1007,38,10,192,9,Kolkata
2018-03-23,37,25,0.0,11.6,8,42,09:54 AM,11:27 PM,05:38 AM,05:49 PM,21,33,33,30,17,9,64,0.0,1008,37,10,188,13,Kolkata
2018-03-24,37,25,0.0,11.6,7,49,10:47 AM,No moonset,05:37 AM,05:49 PM,22,34,34,31,11,21,66,4.8,1011,37,10,181,8,Kolkata
2018-03-25,38,27,0.0,11.6,7,56,11:45 AM,12:27 AM,05:36 AM,05:50 PM,21,35,35,32,11,11,58,1.9,1013,38,10,238,8,Kolkata
2018-03-26,37,26,0.0,11.6,8,63,12:45 PM,01:26 AM,05:36 AM,05:50 PM,21,34,34,31,12,11,62,1.8,1011,37,10,217,9,Kolkata
2018-03-27,38,25,0.0,11.6,9,71,01:47 PM,02:20 AM,05:35 AM,05:50 PM,18,34,34,32,11,8,53,0.0,1009,38,10,234,9,Kolkata
2018-03-28,37,24,0.0,11.6,8,78,02:49 PM,03:12 AM,05:34 AM,05:51 PM,21,33,33,30,16,10,65,0.0,1009,37,9,187,12,Kolkata
2018-03-29,36,24,0.0,11.6,8,85,03:50 PM,03:59 AM,05:33 AM,05:51 PM,22,34,34,30,18,17,68,0.0,1008,36,10,187,14,Kolkata
2018-03-30,37,26,0.0,11.6,8,93,04:50 PM,04:43 AM,05:32 AM,05:51 PM,22,34,34,30,22,27,65,0.0,1008,37,10,190,17,Kolkata
2018-03-31,36,27,0.0,11.6,7,96,05:48 PM,05:26 AM,05:31 AM,05:52 PM,22,34,34,30,18,30,64,10.6,1009,36,8,177,14,Kolkata
2018-04-01,37,25,0.0,11.6,7,89,06:44 PM,06:06 AM,05:30 AM,05:52 PM,22,34,34,30,12,29,63,3.9,1010,37,9,165,9,Kolkata
2018-04-02,34,24,0.0,11.6,8,81,07:40 PM,06:46 AM,05:29 AM,05:52 PM,17,30,30,29,11,27,49,0.2,1011,34,10,123,8,Kolkata
2018-04-03,35,24,0.0,11.6,8,74,08:34 PM,07:26 AM,05:28 AM,05:53 PM,17,32,32,31,9,12,47,0.0,1010,35,10,214,7,Kolkata
2018-04-04,35,24,0.0,11.6,8,66,09:28 PM,08:07 AM,05:27 AM,05:53 PM,20,33,33,31,14,8,53,0.0,1008,35,10,207,11,Kolkata
2018-04-05,36,25,0.0,11.6,7,59,10:20 PM,08:50 AM,05:26 AM,05:53 PM,21,33,33,30,16,13,60,8.0,1007,36,9,196,13,Kolkata
2018-04-06,35,25,0.0,11.6,7,51,11:12 PM,09:35 AM,05:25 AM,05:54 PM,22,33,33,30,18,26,67,0.7,1008,35,10,173,14,Kolkata
2018-04-07,34,26,0.0,6.2,7,44,No moonrise,10:22 AM,05:24 AM,05:54 PM,23,33,33,29,15,69,70,6.5,1010,34,9,189,10,Kolkata
2018-04-08,36,25,0.0,11.6,8,36,12:00 AM,11:10 AM,05:23 AM,05:54 PM,18,31,31,30,14,14,50,0.0,1011,36,10,127,10,Kolkata
2018-04-09,35,26,0.0,11.6,7,28,12:47 AM,12:00 PM,05:22 AM,05:55 PM,21,33,33,30,13,29,58,4.0,1011,35,10,211,10,Kolkata
2018-04-10,35,26,0.0,11.6,8,21,01:32 AM,12:51 PM,05:21 AM,05:55 PM,20,33,33,31,13,15,56,1.0,1010,35,10,212,10,Kolkata
2018-04-11,37,27,0.0,11.6,8,13,02:14 AM,01:43 PM,05:21 AM,05:55 PM,21,34,34,31,17,7,57,0.0,1009,37,10,205,14,Kolkata
2018-04-12,38,27,0.0,11.6,8,6,02:54 AM,02:35 PM,05:20 AM,05:56 PM,20,34,34,32,16,15,55,0.0,1008,38,10,205,13,Kolkata
2018-04-13,38,28,0.0,11.6,8,0,03:34 AM,03:29 PM,05:19 AM,05:56 PM,21,35,35,32,15,10,54,0.6,1009,38,10,216,12,Kolkata
2018-04-14,39,28,0.0,11.6,9,0,04:12 AM,04:23 PM,05:18 AM,05:57 PM,20,35,35,33,19,16,53,0.0,1008,39,10,220,14,Kolkata
2018-04-15,40,28,0.0,11.6,9,0,04:51 AM,05:20 PM,05:17 AM,05:57 PM,18,36,36,34,12,4,45,0.0,1007,40,10,219,10,Kolkata
2018-04-16,42,29,0.0,11.6,9,1,05:32 AM,06:17 PM,05:16 AM,05:57 PM,19,38,38,35,14,2,49,0.0,1008,42,10,210,12,Kolkata
2018-04-17,41,28,0.0,11.6,8,9,06:14 AM,07:17 PM,05:15 AM,05:58 PM,20,37,37,34,20,10,51,0.0,1008,41,10,196,16,Kolkata
2018-04-18,39,29,0.0,11.6,8,17,06:59 AM,08:18 PM,05:14 AM,05:58 PM,23,37,37,32,22,9,61,0.2,1007,39,10,180,17,Kolkata
2018-04-19,39,28,0.0,11.6,8,24,07:49 AM,09:21 PM,05:14 AM,05:58 PM,23,37,37,32,18,9,61,1.0,1005,39,10,191,14,Kolkata
2018-04-20,38,27,0.0,11.6,8,32,08:42 AM,10:22 PM,05:13 AM,05:59 PM,24,37,37,32,28,22,66,0.0,1005,38,10,189,22,Kolkata
2018-04-21,36,28,0.0,11.6,7,39,09:40 AM,11:22 PM,05:12 AM,05:59 PM,25,37,37,31,26,32,70,3.2,1005,36,10,181,20,Kolkata
2018-04-22,35,28,0.0,12.9,7,47,10:39 AM,No moonset,05:11 AM,06:00 PM,25,37,37,31,24,37,72,10.7,1007,35,9,181,18,Kolkata
2018-04-23,39,27,0.0,12.9,7,54,11:41 AM,12:17 AM,05:10 AM,06:00 PM,23,38,38,33,14,23,63,4.0,1007,39,10,186,10,Kolkata
2018-04-24,40,29,0.0,12.9,9,62,12:42 PM,01:09 AM,05:10 AM,06:00 PM,21,39,39,34,12,2,52,0.0,1007,40,10,216,10,Kolkata
2018-04-25,38,28,0.0,12.9,8,69,01:42 PM,01:57 AM,05:09 AM,06:01 PM,23,37,37,32,20,10,61,0.0,1006,38,10,169,16,Kolkata
2018-04-26,36,28,0.0,12.9,8,77,02:40 PM,02:41 AM,05:08 AM,06:01 PM,23,36,36,31,23,16,65,6.9,1007,36,9,171,17,Kolkata
2018-04-27,38,28,0.0,13.0,8,85,03:38 PM,03:23 AM,05:07 AM,06:02 PM,22,36,36,32,17,19,58,1.0,1009,38,10,174,13,Kolkata
2018-04-28,38,28,0.0,13.0,7,92,04:33 PM,04:02 AM,05:07 AM,06:02 PM,22,36,36,32,17,18,58,0.1,1008,38,10,185,14,Kolkata
2018-04-29,37,28,0.0,13.0,7,100,05:29 PM,04:41 AM,05:06 AM,06:02 PM,23,36,36,31,25,18,64,13.6,1006,37,9,184,19,Kolkata
2018-04-30,35,28,0.0,13.0,7,100,06:23 PM,05:21 AM,05:05 AM,06:03 PM,24,36,36,31,18,44,68,7.9,1006,35,10,166,14,Kolkata
2018-05-01,36,28,0.0,13.0,8,89,07:18 PM,06:02 AM,05:04 AM,06:03 PM,23,36,36,32,13,10,61,0.1,1007,36,10,187,10,Kolkata
