date_time,maxtempC,mintempC,totalSnow_cm,sunHour,uvIndex,moon_illumination,moonrise,moonset,sunrise,sunset,DewPointC,FeelsLikeC,HeatIndexC,WindChillC,WindGustKmph,cloudcover,humidity,precipMM,pressure,tempC,visibility,winddirDegree,windspeedKmph,location
2020-08-28,32,24,0.0,8.9,6,64,03:32 PM,01:14 AM,06:04 AM,06:51 PM,23,31,31,28,18,58,74,9.5,1002,32,10,271,13,Jaipur
2020-08-29,34,25,0.0,8.9,7,71,04:26 PM,02:09 AM,06:05 AM,06:50 PM,22,34,34,30,13,55,62,1.4,1001,34,10,169,9,Jaipur
2020-08-30,31,27,0.0,6.2,6,79,05:15 PM,03:06 AM,06:05 AM,06:49 PM,23,32,32,28,34,77,75,15.0,999,31,9,73,23,Jaipur
2020-08-31,31,25,0.0,6.2,6,82,05:58 PM,04:04 AM,06:06 AM,06:48 PM,23,31,31,28,22,79,75,1.9,1002,31,10,205,17,Jaipur
2020-09-01,32,25,0.0,10.3,6,97,06:36 PM,05:02 AM,06:06 AM,06:47 PM,22,31,31,28,21,53,70,0.3,1006,32,10,227,16,Jaipur
2020-09-02,32,26,0.0,8.9,6,100,07:11 PM,05:57 AM,06:07 AM,06:45 PM,23,32,32,28,18,51,73,0.9,1007,32,10,239,13,Jaipur
2020-09-03,33,28,0.0,8.9,7,88,07:43 PM,06:51 AM,06:07 AM,06:44 PM,22,33,33,30,15,57,65,2.2,1006,33,10,309,10,Jaipur
2020-09-04,34,28,0.0,8.9,7,81,08:14 PM,07:43 AM,06:07 AM,06:43 PM,23,35,35,31,9,67,66,15.4,1006,34,9,119,5,Jaipur
2020-09-05,32,28,0.0,6.2,7,73,08:44 PM,08:34 AM,06:08 AM,06:42 PM,23,34,34,30,17,52,69,10.3,1004,32,9,268,11,Jaipur
2020-09-06,34,27,0.0,10.2,7,66,09:15 PM,09:26 AM,06:08 AM,06:41 PM,23,35,35,30,16,49,65,11.1,1004,34,9,286,10,Jaipur
2020-09-07,35,28,0.0,8.9,7,58,09:47 PM,10:17 AM,06:09 AM,06:40 PM,22,35,35,31,17,50,59,2.2,1004,35,10,284,12,Jaipur
2020-09-08,36,28,0.0,11.6,8,50,10:22 PM,11:10 AM,06:09 AM,06:39 PM,20,35,35,32,15,24,52,0.0,1005,36,10,260,10,Jaipur
2020-09-09,38,29,0.0,11.6,8,43,11:01 PM,12:04 PM,06:10 AM,06:38 PM,18,34,34,33,15,14,42,0.0,1004,38,10,281,10,Jaipur
